Image,DriveType,Manufacturer,Model,Serial,Capacity,RecognitionState,SerialConfidence,SelectedSerialSource,FieldReaderPrimarySerial,IdentityWinningCandidate,IdentityWinningScore,IdentitySafe,ElapsedSeconds,Error
WIN_20260908_13_31_50_Pro.jpg,2.5 SAS HDD,Toshiba,,AL15SEB060N,600 GB,REVIEW,25,,,20L0A00WFJPF,103,False,64.15,
WIN_20260908_13_32_28_Pro.jpg,Other / Unknown,Western Digital,WD400BB60DGA0,WMADK4271765,,CONFIRM,98,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,WMADK4271765,,0,False,4.0,
WIN_20260908_13_32_40_Pro.jpg,Other / Unknown,Seagate,ST3160318AS,6VYAD4ED,,CONFIRM,80,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,6VYAD4ED,,0,False,3.88,
WIN_20260908_13_33_05_Pro.jpg,Other / Unknown,Lite-On,CA05348-B24400HP,BE064617,,READY,98,CODE CODE_39/WIN_20260908_13_33_05_Pro.jpg,6VYAD4ED,BE064617,235,True,3.97,
WIN_20260908_13_33_14_Pro.jpg,3.5 SATA HDD,HGST / Hitachi,HDS721050CLA662,A8462214,500 GB,REVIEW,25,RAPID-SN-RIGHT,A8462214,,0,False,4.53,
WIN_20260908_13_33_50_Pro.jpg,Other / Unknown,Samsung,HD161GJ,S2GYJ9GB310416,160.0 GB,READY,98,CODE CODE_128/WIN_20260908_13_33_50_Pro.jpg,A8462214,S2GYJ9GB310416,354,True,3.86,
WIN_20260908_13_34_00_Pro.jpg,3.5 SATA HDD,Western Digital,WD2500AAKX603CA0,WMAYV1138873,250 GB,CONFIRM,98,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,WMAYV1138873,,0,False,4.75,
WIN_20260908_13_34_16_Pro.jpg,2.5 SSD,,,161092402121,128 GB,CONFIRM,98,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,161092402121,,0,False,2.2,
WIN_20260908_13_34_24_Pro.jpg,2.5 SATA HDD,HGST / Hitachi,HTS541060G9SA00,XMGJNL1T,,CONFIRM,98,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,XMGJNL1T,,0,False,3.61,
WIN_20260908_13_34_29_Pro.jpg,2.5 SSD,Samsung,MZ7PD128M,O.665961-001,128 GB,REVIEW,55,,XMGJNL1T,,0,False,3.35,
WIN_20260908_13_35_17_Pro.jpg,M.2 NVMe,Samsung,MZVLW2560,S340NX0J492037,256 GB,CONFIRM,80,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,S340NX0J492037,,0,False,3.36,
WIN_20260908_13_35_25_Pro.jpg,M.2 NVMe,SK hynix,HFM256GOJTNG8310A,,256 GB,REVIEW,0,,S340NX0J492037,,0,False,2.56,
WIN_20260908_13_35_37_Pro.jpg,Other / Unknown,,,S225NYO1460665,,CONFIRM,80,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,S225NYO1460665,,0,False,1.91,
WIN_20260908_13_36_23_Pro.jpg,2.5 SSD,Western Digital,SN730,2004A1805042,512 GB,CONFIRM,80,,S225NYO1460665,2004A1805042,62,True,1.92,
WIN_20260908_13_36_33_Pro.jpg,Other / Unknown,SanDisk,SDBQNTY-5120-1001,200888801108,,CONFIRM,80,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,200888801108,,0,False,3.61,
WIN_20260908_13_36_52_Pro.jpg,2.5 SSD,Western Digital,SN810,,1 TB,REVIEW,0,,200888801108,,0,False,1.98,
WIN_20260908_13_37_02_Pro.jpg,Other / Unknown,Intel,HBRPEKNX0202AH,BTTE044203Y95128,32 GB,CONFIRM,80,RAPID-SN-INLINE+RAPID-SN-SAME-BLOCK,BTTE044203Y95128,,0,False,3.32,
