Image,ExpectedDriveType,ExpectedManufacturer,ExpectedModel,ExpectedSerial,ExpectedCapacity
WIN_20260908_13_31_50_Pro.jpg,2.5 SAS HDD,Toshiba,AL15SEB060N,20L0A00WFJPF,600 GB
WIN_20260908_13_32_28_Pro.jpg,3.5 PATA HDD,Western Digital,WD400BB60DGA0,WMADK4271765,40 GB
WIN_20260908_13_32_40_Pro.jpg,3.5 SATA HDD,Seagate,ST3160318AS,6VYAD4ED,160 GB
WIN_20260908_13_33_05_Pro.jpg,3.5 SCSI HDD,Fujitsu,MAE3091LC,BE064617,9.1 GB
WIN_20260908_13_33_14_Pro.jpg,3.5 SATA HDD,HGST / Hitachi,HDS721050CLA662,JP1572FL2WMBK,500 GB
WIN_20260908_13_33_50_Pro.jpg,3.5 SATA HDD,Samsung,HD161GJ,S2GYJ9GB310416,160 GB
WIN_20260908_13_34_00_Pro.jpg,3.5 SATA HDD,Western Digital,WD2500AAKX603CA0,WMAYV1138873,250 GB
WIN_20260908_13_34_16_Pro.jpg,2.5 SSD,SanDisk,SD7SB3Q128G1006,161092402121,128 GB
WIN_20260908_13_34_24_Pro.jpg,2.5 SATA HDD,HGST / Hitachi,HTS541060G9SA00,XMGJNL1T,60 GB
WIN_20260908_13_34_29_Pro.jpg,2.5 SSD,Samsung,MZ7PD128M,S1MBNYAH314143,128 GB
WIN_20260908_13_35_17_Pro.jpg,M.2 NVMe,Samsung,MZVLW2560,S340NX0J492037,256 GB
WIN_20260908_13_35_25_Pro.jpg,M.2 NVMe,SK hynix,HFM256GDJTNG8310ABA,NDBCN763311701530,256 GB
WIN_20260908_13_35_37_Pro.jpg,M.2 NVMe,Samsung,MZJPV256S0A4,S225NYO1460665,256 GB
WIN_20260908_13_36_23_Pro.jpg,M.2 NVMe,Western Digital,SDBQNTY512G1001,2004A1805042,512 GB
WIN_20260908_13_36_33_Pro.jpg,M.2 NVMe,Western Digital,SDBQNTY512G1001,200888801108,512 GB
WIN_20260908_13_36_52_Pro.jpg,M.2 NVMe,Western Digital,SDCPNRY1T001006,232303803406,1 TB
WIN_20260908_13_37_02_Pro.jpg,M.2 NVMe / Optane,Intel,HBRPEKNX0202AH,BTTE044203Y95128,512 GB
